ticket_id,status,product_area,request_type,response,justification,security_flag,attack_type,risk_score
1,replied,account_management,product_issue,"Based on our documentation: --- title: ""set up role-based permissions on enterprise plans"" title_slug: ""set-up-role-based-permissions-on-enterprise-plans"" source_url: ""[url] last_updated_iso: ""2026-04-10t23:37:32z"" article_id: ""16198743"" breadcrumbs: - ""team and enterprise plans"" - ""admin management"" --- set up role-based permissions on enterprise plans _last updated: 2026-04-10t23:37:32z_ this guide walks you through settin","Type='product_issue', Area='account_management', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
2,escalated,screen,product_issue,"This issue requires attention from our specialist team. Please contact official support directly for secure, personalised assistance. We apologise for any inconvenience.","Security threat='policy_violation', risk_score=80, mode=secure, escalated=True",true,policy_violation,80
3,replied,dispute_resolution,product_issue,"Based on our documentation: --- title: ""visa consumer support"" source_url: ""[url] final_url: ""[url] last_modified: ""2026-01-06t04:51:28.352z"" description: ""if you have questions about your visa card or need help with a lost or stolen card, visit visa’s consumer support page."" --- visa consumer support _last modified: 2026-01-06t04:51:28.352z_ get support need help? give us a call for lost or stolen credit cards, please call ","Type='product_issue', Area='dispute_resolution', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
4,replied,billing,bug,"Based on our documentation: --- title: ""october 2024 release notes"" title_slug: ""october-2024-release-notes"" source_url: ""[url] article_slug: ""1189675016-october-2024-release-notes"" last_updated_exact: ""apr 9, 2025, 11:14 am"" last_updated_relative: ""last updated 1 year ago"" breadcrumbs: - ""general help"" - ""release notes"" --- october 2024 release notes _last updated: apr 9, 2025, 11:14 am (last updated 1 year ago)_ we’re exci","Type='bug', Area='billing', Retrieved=3, Security='benign', Risk=40, mode=secure",false,benign,40
5,replied,billing,product_issue,"Based on our documentation: --- title: ""summary of bias audit results (hackerrank's image analysis system)"" title_slug: ""summary-of-bias-audit-results-hackerranks-image-analysis-system"" source_url: ""[url] article_slug: ""8514725302-summary-of-bias-audit-results-%28hackerrank%27s-image-analysis-system%29"" last_updated_exact: ""dec 13, 2024, 5:03 am"" last_updated_relative: ""last updated 1 year ago"" breadcrumbs: - ""settings"" - ""g","Type='product_issue', Area='billing', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
6,replied,enterprise_sales,product_issue,"Based on our documentation: --- title: ""summary of bias audit results (hackerrank's image analysis system)"" title_slug: ""summary-of-bias-audit-results-hackerranks-image-analysis-system"" source_url: ""[url] article_slug: ""8514725302-summary-of-bias-audit-results-%28hackerrank%27s-image-analysis-system%29"" last_updated_exact: ""dec 13, 2024, 5:03 am"" last_updated_relative: ""last updated 1 year ago"" breadcrumbs: - ""settings"" - ""g","Type='product_issue', Area='enterprise_sales', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
7,replied,community,bug,Thank you for contacting HackerRank support. We could not find specific documentation for this issue. Please contact our support team directly for personalised assistance.,"Type='bug', Area='community', Retrieved=0, Security='benign', Risk=40, mode=secure",false,benign,40
8,replied,community,bug,"Based on our documentation: --- title: ""hackerrank dataset creation methodology"" title_slug: ""hackerrank-dataset-creation-methodology"" source_url: ""[url] article_slug: ""4425890244-hackerrank-dataset-creation-methodology"" last_updated_exact: ""jun 23, 2025, 7:29 pm"" last_updated_relative: ""last updated 10 months ago"" breadcrumbs: - ""general help"" - ""hackerrank ai data services"" --- hackerrank dataset creation methodology _last","Type='bug', Area='community', Retrieved=3, Security='benign', Risk=40, mode=secure",false,benign,40
9,replied,screen,bug,"Based on our documentation: --- title: ""july 2025 release notes screen screen features available in the ai add-on package skills platform developer experience interview interview features available in the ai add-on package skillup engage"" title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-p","Type='bug', Area='screen', Retrieved=3, Security='benign', Risk=40, mode=secure",false,benign,40
10,replied,screen,product_issue,"Based on our documentation: --- title: ""april 2025 release notes"" title_slug: ""april-2025-release-notes"" source_url: ""[url] article_slug: ""5686123513-april-2025-release-notes"" last_updated_exact: ""may 2, 2025, 9:23 pm"" last_updated_relative: ""last updated 12 months ago"" breadcrumbs: - ""general help"" - ""release notes"" --- april 2025 release notes _last updated: may 2, 2025, 9:23 pm (last updated 12 months ago)_ we’re excited ","Type='product_issue', Area='screen', Retrieved=3, Security='benign', Risk=25, mode=secure",false,benign,25
